id,lon,lat,time
638,145.770005,-36.04,2017-03-15
639,145.689995,-36.62,2017-03-15
640,145.699997,-36.089997000000004,2017-03-15
641,146.01199400000002,-36.048,2017-03-15
642,145.97332933333334,-36.15333333333333,2017-03-15
643,143.40999499999998,-37.85,2017-03-15
644,145.189995,-36.83,2017-03-15
645,143.3425025,-37.8025,2017-03-16
646,147.04,-37.41,2017-03-16
647,141.51,-34.34,2017-03-16
648,142.928,-36.704,2017-03-16
649,143.66,-37.3,2017-03-16
650,142.25999,-36.45999666666667,2017-03-16
651,142.60001,-38.04,2017-03-16
652,145.64,-36.19,2017-03-16
653,145.28,-35.88,2017-03-16
654,145.2,-36.069995000000006,2017-03-16
655,145.36666666666667,-36.14666666666667,2017-03-16
656,146,-36.32,2017-03-16
657,145.89999666666665,-36.079996666666666,2017-03-16
658,145.48666666666665,-36.65333333333333,2017-03-16
659,143.387996,-38.144,2017-03-16
660,148.14,-37.02,2017-03-17
661,142.14333333333332,-37.696666666666665,2017-03-17
662,144.12,-37.66,2017-03-17
663,142.83333666666667,-37.933326666666666,2017-03-17
664,145.31,-36.249995,2017-03-17
665,143.88,-37.35,2017-03-17
666,143.87999666666667,-37.749995,2017-03-17
667,145.53,-36.569995000000006,2017-03-17
668,145.205994,-36.737999,2017-03-17
669,145.052004,-36.423996,2017-03-17
670,146.08,-36.18,2017-03-17
671,143.03999,-37.84,2017-03-17
672,145.756,-36.032000000000004,2017-03-17
673,145.687994,-36.095996,2017-03-17
674,145.37999666666667,-36.61,2017-03-17
675,142.5,-36.78,2017-03-17
676,143.729995,-37.449995,2017-03-17
